title,originalTitle,imdbID,runtime,originalLanguage,originCountry,plot,releaseDate,homepage,budget,revenue,tmdbRating,tmdbVotes,popularity,director,actors,awards,imdbVotes,imdbRating,metacriticRating,rottenTomatoesRating,mpaFilmRating,genre
The Wages of Fear,Le salaire de la peur,tt27487473,107,fr,['FR'],"When an explosion at an oil well threatens hundreds of lives, a crack team is called upon to make a deadly desert crossing with nitroglycerine in tow.",2024-03-28,https://www.netflix.com/title/81654966,,,6.2,454,9.688,Julien Leclercq,"Franck Gastambide, Alban Lenoir, Sofiane Zermani",,3954.0,4.6,,2.0,TV-MA,"['Action', 'Adventure', 'Drama']"
Kalki 2898-AD,కల్కి 2898-ఎ.డి,tt12735488,176,te,['IN'],"In the year 2898 AD, around 6000 years after Kurukshetra war, Ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and Bhairava, a wisecracking and self-interested bounty hunter, tired of the perilous life becomes the hurdle in the process.",2024-06-26,,75000000.0,141000000.0,6.4,118,6.4445,Nag Ashwin,"Prabhas, Amitabh Bachchan, Kamal Haasan",,62164.0,7.0,6.5,7.7,Unrated,"['Action', 'Adventure', 'Drama']"
The Mouse Trap,The Mouse Trap,tt30743549,80,en,['CA'],"It's Alex's 21st Birthday, but she's stuck at the amusement arcade on a late shift so her friends decide to surprise her, but a masked killer dressed as Mickey Mouse decides to play a game of his own with them which she must survive.",2024-08-23,,800000.0,5737.0,4.1,68,10.282,Jamie Bailey,"Simon Phillips, Sophie McIntosh, Madeline Kelman",,2707.0,2.5,,,Unrated,"['Comedy', 'Horror', 'Thriller']"
The Shadow Strays,The Shadow Strays,tt28349451,145,id,['ID'],"Skilled in the art of killing, a young assassin defies her mentor to save a boy from a ruthless crime syndicate — and she'll destroy anyone in her path.",2024-09-10,https://www.netflix.com/title/81624008,,,7.3,237,9.4389,Timo Tjahjanto,"Aurora Ribero, Hana Malasan, Taskya Namya",2 nominations total,8904.0,6.5,7.3,9.1,TV-MA,"['Action', 'Crime', 'Thriller']"
How to Make Millions Before Grandma Dies,หลานม่า,tt31392609,125,th,['TH'],"M, a university dropout low on money and luck, volunteers to take care of his terminally ill grandmother, in the hope of pocketing an inheritance.",2024-04-04,,,73800000.0,8.1,167,9.8912,Pat Boonnitipat,"Putthipong Assaratanakul, Usha Seamkhum, Sanya Kunakorn",7 wins & 3 nominations total,11239.0,8.0,7.4,9.8,TV-PG,"['Comedy', 'Drama', 'Family']"
Juror #2,Juror #2,tt27403986,114,en,['US'],"While serving as a juror in a high profile murder trial, family man Justin Kemp finds himself struggling with a serious moral dilemma…one he could use to sway the jury verdict and potentially convict—or free—the accused killer.",2024-10-30,https://www.warnerbros.com/movies/juror-2,30000000.0,21418477.0,6.83,1602,11.3148,Clint Eastwood,"Nicholas Hoult, Toni Collette, J.K. Simmons",3 wins & 8 nominations total,70008.0,7.0,7.2,9.3,PG-13,"['Crime', 'Drama', 'Mystery']"
Monkey Man,Monkey Man,tt9214772,121,en,['US'],"Kid is an anonymous young man who ekes out a meager living in an underground fight club where, night after night, wearing a gorilla mask, he is beaten bloody by more popular fighters for cash. After years of suppressed rage, Kid discovers a way to infiltrate the enclave of the city’s sinister elite. As his childhood trauma boils over, his mysteriously scarred hands unleash an explosive campaign of retribution to settle the score with the men who took everything from him.",2024-04-03,https://www.monkeyman.movie,10000000.0,35271631.0,6.9,1092,9.3149,Dev Patel,"Dev Patel, Sharlto Copley, Pitobash",7 wins & 20 nominations total,85640.0,6.8,7.0,8.9,R,"['Action', 'Crime', 'Thriller']"
Challengers,Challengers,tt16426418,132,en,['US'],"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Major champion. To jolt him out of his recent losing streak, she signs him up for a ""Challenger"" event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi's former boyfriend.",2024-04-18,https://www.amazon.com/salp/challengers,55000000.0,94182533.0,7.0,2110,11.3254,Luca Guadagnino,"Mike Faist, Josh O'Connor, Zendaya",82 wins & 155 nominations total,149853.0,7.1,8.2,8.8,R,"['Comedy', 'Drama', 'Romance']"
Atlas,Atlas,tt14856980,120,en,['US'],A brilliant counterterrorism analyst with a deep distrust of AI discovers it might be her only hope when a mission to capture a renegade robot goes awry.,2024-05-23,https://www.netflix.com/title/81012048,100000000.0,,6.762,1346,8.992,Brad Peyton,"Jennifer Lopez, Simu Liu, Sterling K. Brown",2 wins & 4 nominations total,55094.0,5.6,3.7,1.9,PG-13,"['Action', 'Adventure', 'Drama']"
The Day the Earth Blew Up: A Looney Tunes Movie,The Day the Earth Blew Up: A Looney Tunes Movie,tt15352542,91,en,['US'],"Porky and Daffy, the classic animated odd couple, turn into unlikely heroes when their antics at the local bubble gum factory uncover a secret alien mind control plot. Against all odds, the two are determined to save their town (and the world!)...that is if they don't drive each other crazy in the process.",2024-08-01,https://gfmanimation.com/films/the-day-the-earth-blew-up,15000000.0,9289479.0,7.7,43,8.7915,Peter Browngardt,"Eric Bauza, Candi Milo, Peter MacNicol",,539.0,6.9,8.2,8.8,PG,"['Animation', 'Adventure', 'Comedy']"
Cinderella's Curse,Cinderella's Curse,tt27819388,82,en,['GB'],"Desperate Cinderella summons her fairy godmother from an ancient flesh-bound book, seeking revenge on her evil stepmother and stepsisters who abuse and torment her daily.",2024-05-31,,,47300.0,6.3,59,9.078,Louisa Warren,"Kelly Rian Sanson, Chrissie Wunna, Lauren Budd",,1181.0,3.3,,,Unrated,"['Drama', 'Fantasy', 'Horror']"
The Rogue's Trial,O Auto da Compadecida 2,tt28696532,114,pt,['BR'],"After 20 years missing, João Grilo returns to Taperoá to join his old friend Chicó and, after his story of resurrection spreads, he is disputed as an electoral candidate by the two most powerful politicians in the city.",2024-12-25,,3000000.0,7200000.0,6.815,84,10.7527,"Guel Arraes, Flávia Lacerda","Matheus Nachtergaele, Selton Mello, Taís Araújo",3 nominations total,1094.0,6.5,,,,"['Comedy', 'Drama', 'Fantasy']"
Last Stop: Rocafort St.,Estación Rocafort,tt24695266,89,es,['ES'],"Laura has recently started working in the Barcelona subway. She has been assigned the old and quiet Rocafort station, but it won't be long before she discovers that this stop harbors a legend that will begin to haunt her: many people have died there in strange circumstances over the years and no one seems to be interested in knowing the truth.",2024-08-30,,,,5.4,45,10.1084,Luis Prieto,"Natalia Azahara, Javier Gutiérrez, Valèria Sorolla",,90.0,,,,,"['Horror', 'Mystery']"
The Devil's Bath,Des Teufels Bad,tt29141112,121,de,"['AT', 'DE']","In 1750 Austria, a deeply religious woman named Agnes has just married her beloved, but her mind and heart soon grow heavy as her life becomes a long list of chores and expectations. Day after day, she is increasingly trapped in a murky and lonely path leading to evil thoughts, until the possibility of committing a shocking act of violence seems like the only way out of her inner prison.",2024-03-08,,,,6.7,101,9.2597,"Severin Fiala, Veronika Franz","Anja Plaschg, Maria Hofstätter, David Scheid",15 wins & 10 nominations total,4630.0,6.6,7.3,,,"['Drama', 'History', 'Horror']"
Number 24,Nr. 24,tt23782584,112,no,['NO'],"On the brink of the Second World War, a young Norwegian man's drive to resist the Nazis sets a new course for his future – and the future of his country.",2024-10-30,,,3301976.0,7.159,267,9.6659,John Andreas Andersen,"Sjur Vatne Brean, Erik Hivju, Philip Helgar",,14144.0,7.5,,,,"['Biography', 'Drama', 'War']"
Bag of Lies,Bag of Lies,tt27597410,96,en,['US'],"Desperate to save his dying wife, Matt turns to The Bag, an ancient relic with dark magic. The cure demands a chilling ritual and strict rules. As his wife heals, Matt's sanity unravels, facing terrifying consequences.",2024-03-29,https://epic-pictures.com/film/bag-of-lies,,,5.6,33,8.9898,David Andrew James,"Patrick Taft, Brandi Botkin, John Wells",,512.0,3.9,,,,['Horror']
Ghostbusters: Frozen Empire,Ghostbusters: Frozen Empire,tt21235248,115,en,['US'],"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second Ice Age.",2024-03-20,https://www.ghostbusters.com,100000000.0,201967521.0,6.502,1751,10.9869,Gil Kenan,"Paul Rudd, Carrie Coon, Finn Wolfhard",7 nominations total,90059.0,6.1,4.6,4.2,PG-13,"['Adventure', 'Comedy', 'Fantasy']"
