title,originalTitle,imdbID,runtime,originalLanguage,originCountry,plot,releaseDate,homepage,budget,revenue,tmdbRating,tmdbVotes,popularity,director,actors,awards,imdbVotes,imdbRating,metacriticRating,rottenTomatoesRating,mpaFilmRating,genre
18×2 Beyond Youthful Days,青春18x2 君へと続く道,tt31039829,124,zh,"['TW', 'JP']","Having lost his job and the company he built, a 36-year-old man at rock bottom goes on a wistful solo trip to Japan in search of the love he left behind.",2024-03-14,https://happinet-phantom.com/seishun18x2/,,,6.957,35,1.9134,Michihito Fujii,"Greg Han Hsu, Kaya Kiyohara, Hsiao-chuan Chang",6 nominations total,1628.0,7.3,,,,"['Drama', 'Romance']"
The Wasp,The Wasp,tt21958136,96,en,"['US', 'GB']","Heather bumps into Carla, having not spoken to her in years, and presents her with a very unexpected proposition that could change both of their lives forever.",2024-08-29,,,,6.404,78,2.4984,Guillem Morales,"Naomie Harris, Natalie Dormer, Dominic Allburn",,3315.0,6.0,6.9,7.4,R,['Thriller']
How to Rob a Bank,How to Rob a Bank,tt32308418,87,en,['US'],"In this true-crime documentary, a charismatic rebel in 1990s Seattle pulls off an unprecedented string of bank robberies straight out of the movies.",2024-06-04,https://www.netflix.com/title/81427740,,,6.6,51,1.6129,"Stephen Robert Morse, Seth Porges","Scott Scurlock, Ellen Glasser, Shawn Johnson",,3994.0,6.6,,10.0,TV-MA,"['Documentary', 'Action', 'Crime']"
#AMFAD: All My Friends Are Dead,#AMFAD: All My Friends Are Dead,tt9567458,91,en,['US'],"A group of college friends rent an Airbnb for the biggest music festival of the year. But their weekend of partying quickly takes a turn, as the group is murdered one by one, in correspondence with the seven deadly sins.",2024-08-29,,,,6.1,28,2.4286,Marcus Dunstan,"Jade Pettyjohn, JoJo Siwa, Jennifer Ens",,1000.0,4.5,,,,"['Horror', 'Mystery', 'Thriller']"
Prodigies,Prodigieuses,tt31948263,101,fr,['FR'],"Claire and Jeanne are twin sisters, united by the same passion: the piano. Coached by their father like athletes, they join the prestigious Karlsruhe Conservatory. They are now competing to be soloists and training for a concert that will make or break their careers. But Claire and then Jeanne discover they are suffering from a serious illness and are slowly losing the use of their hands. With the support of their family and their undying love of music, they will find a unique way to change their fate. An inspiring and moving tale, based on a true story.",2024-11-20,,6000000.0,,6.673,26,1.4066,"Frederic Potier, Valentin Potier","Lennart Betzgen, Isabelle Carré, Thibaut Deschler",,9.0,,,,,"['Biography', 'Drama']"
Blackwater Lane,Blackwater Lane,tt22767628,108,en,['US'],Late one night a woman drives by a stranded motorist who is later revealed to have been murdered. After a series of terrifying events the woman believes she is the killer's next victim.,2024-06-21,,,,6.275,69,1.5798,Jeff Celentano,"Minka Kelly, Dermot Mulroney, Maggie Grace",,1488.0,4.5,,1.1,PG-13,"['Crime', 'Drama', 'Horror']"
Boot Camp,Boot Camp,tt22827888,94,en,['CA'],Unathletic Whitney Carmichael signs up for an intense summer boot camp to reinvent herself and falls for her personal trainer. She then finds the strength to embrace her true self and ignore the others' expectations.,2024-08-02,,,,6.2,25,1.7485,Mackenzie Munro,"Rachel Boudwin, Drew Ray Tanner, Emmanuelle Chriqui",,525.0,5.5,,,,"['Comedy', 'Romance']"
Nutcrackers,Nutcrackers,tt30144381,104,en,['US'],"Just as Mike is on the heels of closing the biggest deal of his career, he's pulled away from his bachelor life in the big city to a farm in rural Ohio in order to help his recently orphaned nephews find a new home.",2024-09-05,https://www.hulu.com/movie/335fb713-8ccb-4daa-8c20-d26c982309a0,,,5.8,127,2.075,David Gordon Green,"Linda Cardellini, Ben Stiller, Ari Graynor",,237.0,,,4.7,,"['Comedy', 'Drama']"
Souleymane's Story,L'Histoire de Souleymane,tt32086046,92,fr,['FR'],"As he pedals through the streets of Paris to deliver meals, Souleymane repeats his story. In two days, he has to go through his asylum application interview, the key to obtaining papers, but Souleymane is not ready.",2024-10-09,,,,7.7,173,1.4587,Boris Lojkine,"Abou Sangare, Nina Meurisse, Emmanuel Yovanie",15 wins & 14 nominations total,2337.0,7.7,8.1,10.0,,['Drama']
Mea Culpa,Mea Culpa,tt26861992,120,en,['US'],"A criminal defense attorney must choose between family, duty and her own dangerous desires when she takes on the case of an artist accused of murder.",2024-02-22,,,,5.7,181,1.8305,Tyler Perry,"Kelly Rowland, Trevante Rhodes, Nick Sagar",,6628.0,4.2,3.3,1.8,R,"['Crime', 'Drama', 'Thriller']"
Noche de Bodas,Noche de Bodas,tt30788442,90,es,['MX'],"Lucía and Nico, the couple of the century, are about to say yes... although not with each other. It turns out that they both decided to get married on the same day and in the same place, but with other people.",2024-03-07,,,,7.2,82,1.7968,Osvaldo Benavides,"Osvaldo Benavides, Ludwika Paleta, Marcela Guirado",3 nominations,209.0,4.6,,,,"['Comedy', 'Romance']"
A True Gentleman,Tam Bir Centilmen,tt23218054,110,tr,['TR'],"A charming male escort finds his life turned upside down when he starts to fall in love, challenging him to discover what he truly wants and needs.",2024-09-25,https://www.netflix.com/title/81610282,,,5.9,38,1.6129,Onur Bilgetay,"Çagatay Ulusoy, Ebru Sahin, Senay Gürler",,1831.0,4.5,,,,"['Drama', 'Romance']"
Race for Glory: Audi vs. Lancia,Race to Glory: Audi vs Lancia,tt20112600,94,en,"['IE', 'IT', 'GB']",Inspired by true events that occurred during the fierce rivalry between Germany (Audi) and Italy (Lancia) at the 1983 Rally World Championships.,2024-01-05,,,2.0,6.1,182,2.7851,Stefano Mordini,"Haley Bennett, Daniel Brühl, Riccardo Scamarcio",,4435.0,5.8,5.1,5.7,R,"['Biography', 'Drama', 'Sport']"
The Good Teacher,Pas de vagues,tt26060006,92,fr,['FR'],"Julien, a young teacher, is wrongfully accused of sexual misconduct by a teenage girl from his class. As he faces mounting pressures from the girl’s older brother and her classmates, the situation spirals out of control. Allegations spread, the entire school is thrown into turmoil, and the teacher has to fight to clear his name.",2024-03-27,,,,6.4,253,1.6468,Teddy Lussi-Modeste,"François Civil, Shaïn Boumedine, Toscane Duquesne",,1237.0,6.7,,,,"['Drama', 'Thriller']"
This Is Me…Now,This Is Me…Now,tt30215084,66,en,['US'],"An intimate, fantastical and narrative-driven reflection of Jennifer Lopez's journey of self-healing and self-love in an immersive world where music and visuals intertwine, revealing the challenges faced and the triumphs achieved.",2024-02-15,https://www.amazon.com/dp/B0CQ432TZD,,,5.3,80,1.4215,Dave Meyers,"Jennifer Lopez, Fat Joe, Jane Fonda",1 nomination,6855.0,4.1,,,PG-13,"['Comedy', 'Drama', 'Fantasy']"
Hijack '93,Hijack '93,tt33540966,86,en,['NG'],"In an effort to dismantle their military-backed government, four men hijack an airplane, leveraging passengers onboard in the name of social change.",2024-10-24,https://www.netflix.com/title/81676888,,,5.5,26,1.7728,Robert Peters,"Usman Tijani Abubakar, Nnamdi Agbo, Idia Aisien",,813.0,3.8,,,,"['Drama', 'Thriller']"
Justice,Napad,tt32245158,114,pl,['PL'],"A young detective seeks the help of a discharged police officer, giving him the chance to reclaim his old life in exchange for solving a bank raid case.",2024-10-15,https://www.netflix.com/title/81620884,,,6.6,100,1.8609,Michal Gazda,"Olaf Lubaszenko, Jedrzej Hycnar, Wiktoria Gorodecka",1 nomination total,3562.0,6.3,,,TV-MA,"['Crime', 'Drama']"
The Radleys,The Radleys,tt22889928,115,en,['GB'],"A seemingly ordinary family harbors a dark secret: they are vampires. They choose not to drink blood despite their natural cravings, but one day, their truth comes to light.",2024-10-04,https://cornerstonefilm.com/film/the-radleys/,,,5.0,51,1.7763,Euros Lyn,"Kelly Macdonald, Damian Lewis, Sophia Di Martino",,2311.0,5.0,,6.9,R,"['Comedy', 'Horror']"
The Park Maniac,Maníaco do Parque,tt28497675,103,pt,['BR'],"An infamous serial killer who assaulted and killed several women in the '90s, gets on a collision course with a young journalist eager for the truth and a career-changing article.",2024-10-12,,,,5.8,59,2.0155,Mauricio Eça,"Silvero Pereira, Giovanna Grigio, Mariana Amâncio",,1280.0,4.9,,,,"['Crime', 'Drama']"
Daaaaaalí!,Daaaaaalí !,tt23476446,77,fr,['FR'],A young French journalist repeatedly meets iconic surrealist artist Salvador Dalí for a documentary project that never came to be.,2024-02-07,,6700000.0,3829263.0,6.175,268,2.0412,Quentin Dupieux,"Anaïs Demoustier, Edouard Baer, Jonathan Cohen",1 win & 1 nomination,2794.0,6.6,,9.5,,"['Comedy', 'Drama']"
Touch,Snerting,tt23468836,121,is,['IS'],"Soon after the break of the pandemic and realizing that his clock is ticking, Kristofer gets the urge to embark on a journey to try to find out what really happened when his Japanese girlfriend mysteriously vanished without a trace from London fifty years earlier.",2024-05-29,https://www.focusfeatures.com/touch,,1709336.0,7.5,74,2.5224,Baltasar Kormákur,"Egill Ólafsson, Kôki, Palmi Kormákur",1 win & 4 nominations total,4368.0,7.4,7.4,9.3,R,"['Drama', 'Romance']"
Irena's Vow,Irena's Vow,tt19869662,121,en,"['CA', 'PL']","19 year old Irena Gut is promoted to housekeeper in the home of a highly respected Nazi officer in Poland when she finds out that the Jewish ghetto is about to be liquidated. Determined to help twelve Jewish workers, she decides to shelter them in the safest place she can think of – the basement of the German Major's house. Over the next eight months, Irena uses her wit, humour and immense courage to hide her friends as long as possible.",2024-04-15,,,,7.5,61,2.0288,Louise Archambault,"Sophie Nélisse, Dougray Scott, Andrzej Seweryn",4 wins & 2 nominations,1807.0,6.7,,,R,"['Drama', 'War']"
Teri Baaton Mein Aisa Uljha Jiya,तेरी बातों में ऐसा उलझा जिया,tt27459160,143,hi,['IN'],A robotics engineer searching for his perfect partner finds himself falling in love with a human-like android.,2024-02-09,,,,5.6,36,1.9934,"Amit Joshi, Aradhana Sah","Shahid Kapoor, Kriti Sanon, Dharmendra",3 wins & 1 nomination,52880.0,6.2,,4.3,,"['Comedy', 'Drama', 'Romance']"
Omni Loop,Omni Loop,tt28150132,107,en,['US'],"Diagnosed with a black hole growing inside her chest and stuck in a loop reliving the last five days of her life, a 55-year-old wife and mother from Miami, Florida decides to solve time travel in order to go back and be the person she always intended to be.",2024-09-20,,,,5.481,54,2.5967,Bernardo Britto,"Mary-Louise Parker, Ayo Edebiri, Carlos Jacott",2 nominations total,1941.0,5.5,6.8,8.3,,"['Drama', 'Sci-Fi']"
The Most Precious of Cargoes,La plus précieuse des marchandises,tt10462154,80,fr,"['BE', 'FR']","Once upon a time, a poor woodcutter and his wife lived in a great forest. Cold, hunger, poverty, and a war raging all around them meant their lives were very hard.  One day, the woodcutter's wife rescues a baby. A baby girl thrown from one of the many trains that constantly pass through the forest. This baby, this ""most precious of cargoes"", will transform the lives of the poor woodcutter's wife and her husband, as well as those whose paths the child will cross—including the man who threw her from the train. And some will try to protect her, whatever the cost. Their story will reveal the worst and the best in the hearts of men.",2024-11-20,https://www.studiocanal.com/title/the-most-precious-of-cargoes-2024/,,4286828.0,7.5,77,1.4286,Michel Hazanavicius,"Dominique Blanc, Grégory Gadebois, Denis Podalydès",1 win & 10 nominations total,726.0,7.1,5.7,5.7,,"['Animation', 'Drama']"
My Favourite Cake,کیک محبوب من,tt31015278,97,fa,"['DE', 'FR', 'IR', 'SE']","Mahin lives alone in Tehran since her husband’s death and her daughter’s departure for Europe, until an afternoon tea with friends leads her to break her solitary routine and revitalize her love life.",2024-07-11,,,,7.5,78,1.2488,"Maryam Moghadam, Behtash Sanaeeha","Lili Farhadpour, Esmaeel Mehrabi, Soraya Orang",6 wins & 5 nominations,3774.0,7.5,,10.0,,"['Comedy', 'Drama', 'Romance']"
The Greatest Night in Pop,The Greatest Night in Pop,tt30796448,97,en,"['US', 'GB']","On a January night in 1985, music's biggest stars gathered to record ""We Are the World."" This documentary goes behind the scenes of the historic event.",2024-01-19,https://www.netflix.com/title/81720500,,,7.873,233,1.4185,Bao Nguyen,"Lionel Richie, Harriet Sternberg, Wendy Rees",Nominated for 3 Primetime Emmys. 1 win & 10 nominations total,13507.0,7.9,,9.8,PG-13,"['Documentary', 'Music']"
Intercambiadas,Intercambiadas,tt33240469,97,es,['MX'],"One enchanted night, during a meteor shower, young Sebastián made a heartfelt wish: for his loving nanny, Lupe, to become his mother, for her warmth and care were what he longed for, unlike his busy mother, Paola. The stars listened, and in their mysterious way, granted his wish, exchanging the roles of the two women, leading to a whimsical adventure full of unexpected laughs and heartwarming chaos.",2024-09-27,,,,8.032,31,2.0975,Fernando Urdapilleta,"Kaled Acab, Alejandro Calva, Erick Chapa",,20.0,,,,,"['Comedy', 'Fantasy']"
Vanished into the Night,Svaniti nella notte,tt14034294,93,it,['IT'],"A father, immersed in a difficult divorce process, embarks on a dangerous mission when his children disappear from their isolated country house.",2024-07-10,https://www.netflix.com/title/81163835,,,5.503,156,1.6841,Renato De Maria,"Riccardo Scamarcio, Annabelle Wallis, Massimiliano Gallo",,4281.0,5.2,,4.3,,"['Drama', 'Thriller']"
Starve Acre,Starve Acre,tt17521612,98,en,['GB'],"When their son starts acting strangely, a couple unwittingly allow dark and sinister forces into their home, awakening a long-dormant ancient evil rooted deep in the countryside.",2024-07-26,,,,6.0,72,2.0032,Daniel Kokotajlo,"Matt Smith, Morfydd Clark, Arthur Shaw",1 nomination,3262.0,5.4,,8.4,,"['Drama', 'Horror']"
Ghostlight,Ghostlight,tt30321095,115,en,['US'],"When a construction worker unexpectedly joins a local theater's production of Romeo and Juliet alongside his estranged teenage daughter, the drama onstage starts to mirror his own life.",2024-06-14,,,672640.0,7.3,42,1.4827,"Kelly O'Sullivan, Alex Thompson","Keith Kupferer, Katherine Mallen Kupferer, Tara Mallen",5 wins & 18 nominations total,4820.0,7.6,8.3,9.9,R,"['Comedy', 'Drama']"
The Snow Sister,Snøsøsteren,tt11092178,98,no,['NO'],"A young boy whose grieving family has forgotten about Christmas forms an unexpected, healing bond with a bubbly girl full of holiday spirit.",2024-11-28,https://www.netflix.com/title/81681292,,,6.776,98,1.7234,Cecilie A. Mosli,"Mudit Gupta, Celina Meyer Hovland, Jan Sælid",,1947.0,7.0,,,,"['Drama', 'Family']"
The Second Act,Le Deuxième Acte,tt30784256,80,fr,['FR'],"Florence wants to introduce David, the man she’s madly in love with, to her father Guillaume. But David isn’t attracted to Florence and wants to throw her into the arms of his friend Willy. The four characters meet in a restaurant in the middle of nowhere.",2024-05-14,,,,6.1,221,1.7181,Quentin Dupieux,"Léa Seydoux, Vincent Lindon, Louis Garrel",3 nominations total,2564.0,6.5,5.7,7.1,,['Comedy']
Cloud,Cloud クラウド,tt32828123,124,ja,['JP'],"Ryōsuke Yoshii, an ordinary reseller, carelessly earns grudges by people and becomes entangled in a life-threatening struggle.",2024-09-27,https://intl.nikkatsu.com/sales/442.html,,541314.0,6.9,27,2.5347,Kiyoshi Kurosawa,"Masaki Suda, Kotone Furukawa, Daiken Okudaira",2 nominations total,703.0,6.4,7.1,9.2,,"['Action', 'Horror', 'Thriller']"
Blame the Game,Spieleabend,tt28301898,92,de,['DE'],"Pia and Jan have just fallen in love and arranged to meet Pia's friends for a game night. Jan meets Pia's friends for the first time and is under pressure to make the perfect first impression. When Pia's ex-boyfriend shows up and even Jan's buddy's tips can't save anything, everything is at stake: the relationship, the friendship, and the definition of truth.",2024-07-03,https://www.netflix.com/title/81663095,,,5.824,207,1.7163,Marco Petry,"Dennis Mojen, Janina Uhse, Anna Maria Mühe",,3689.0,5.4,,,TV-MA,"['Comedy', 'Thriller']"
Olivia Rodrigo: GUTS World Tour,Olivia Rodrigo: GUTS World Tour,tt33562156,105,en,['US'],"At a sold-out concert in her hometown of LA, Olivia Rodrigo pours her heart into an electrifying night of chart-topping hits and pop-rock power ballads.",2024-10-25,https://www.netflix.com/title/81930855,,,7.2,34,1.3484,James B. Merryman,"Olivia Rodrigo, Hayley Brownell, Camila Mora",,624.0,7.9,,,TV-MA,"['Documentary', 'Music']"
Yolo,热辣滚烫,tt28151876,129,zh,['CN'],"After an argument with her younger sister, Le Ying moves out on her own. She meets a boxing trainer and starts boxing.",2024-02-10,,100000000.0,480600000.0,6.4,77,1.6015,Ling Jia,"Ling Jia, Jiayin Lei, Xiaofei Zhang",5 wins & 4 nominations,3142.0,6.9,,8.2,PG-13,"['Action', 'Comedy', 'Drama']"
Smoke Signals,Une Affaire de principe,tt28483934,95,fr,"['BE', 'FR']","2012, John Dalli, the European Commissioner for Health, is accused of corruption and influence peddling related to the tobacco industry. French Member of the European Parliament José Bové, maverick politician and prominent figure of the environmental party, suspects a setup by the tobacco manufacturer Swedish Match, potentially involving the President of the European Commission, José Barroso. Standing alone against all odds, he decides to investigate and unravel this story, which shook the foundations of the entire European institutions.",2024-05-01,,6790000.0,,6.527,37,1.5869,Antoine Raimbault,"Bouli Lanners, Thomas Vandenberghe, Céleste Brunnquell",,183.0,,,,,"['Drama', 'Thriller']"
Good One,Good One,tt30319516,90,en,['US'],"On a weekend backpacking trip in the Catskills, 17-year-old Sam contends with the competing egos of her father and his oldest friend.",2024-08-09,https://www.goodonefilm.com/,,165620.0,6.3,28,1.625,India Donaldson,"Lily Collias, Sumaya Bouhbal, Valentine Black",3 wins & 13 nominations,1296.0,6.6,,9.8,R,['Drama']
Longing,Longing,tt8442220,111,en,['US'],A business mogul runs into his old small town girlfriend while she is visiting the big city only to find out that they had a child together that he was unaware of.,2024-06-07,,,,6.1,48,1.3483,Savi Gabizon,"Richard Gere, Diane Kruger, Suzanne Clément",,535.0,4.6,,3.0,R,"['Comedy', 'Drama']"
Brothers,Frères,tt28100729,105,fr,['FR'],"Two young brothers are abandoned by their mother during summer of 1948, they run into the forest and survive there for seven years.",2024-04-24,,,,7.099,91,1.5567,Olivier Casas,"Yvan Attal, Mathieu Kassovitz, Victor Escoudé-Oury",,280.0,,,,,['Drama']
The Menendez Brothers,The Menendez Brothers,tt33481094,116,en,['US'],"Serving life in prison for murdering their parents, Lyle and Erik Menendez speak out in this documentary explaining the shocking crime and ensuing trials.",2024-10-07,https://www.netflix.com/title/81506509,,,7.5,114,1.6019,Alejandro Hartmann,"Erik Menendez, Lyle Menendez, Jose Menendez",,8449.0,7.0,,,TV-MA,['Documentary']
Rob Peace,Rob Peace,tt10740926,120,en,['US'],"An underprivileged, gifted young black man from Newark reaches Yale University, only for shadows and injustices from his past to threaten his future.",2024-08-02,,,376554.0,6.7,55,2.3033,Chiwetel Ejiofor,"Jay Will, Mary J. Blige, Chiwetel Ejiofor",,1488.0,6.6,6.1,7.5,R,"['Biography', 'Drama']"
The Best Christmas Pageant Ever,The Best Christmas Pageant Ever,tt2347285,99,en,['US'],"The Herdman kids are undeniably the worst kids in the history of the world. They lie, steal, cheat, bully and overall terrorize their small community. But this Christmas, they're taking over their local church Pageant – and they just might unwittingly teach a shocked little town the true meaning of Christmas.",2024-11-07,https://bestchristmaspageantever.movie,10000000.0,40236104.0,6.9,74,1.4681,Dallas Jenkins,"Kynlee Heiman, Sebastian Billingsley-Rodriguez, Judy Greer",1 win & 1 nomination total,5622.0,6.8,6.0,9.2,PG,"['Adventure', 'Comedy', 'Drama']"
Boxer,Bokser,tt32244931,150,pl,['PL'],"With only his wife by his side, a promising young boxer flees communist Poland to chase his dream of becoming the greatest fighter in history.",2024-09-10,https://www.netflix.com/title/81620854,,,7.0,35,1.5973,Mitja Okorn,"Eryk Kulm, Adrianna Chlebicka, Eryk Lubos",,1281.0,6.4,,,TV-MA,"['Drama', 'Sport']"
Goodrich,Goodrich,tt10171472,111,en,['US'],"Andy Goodrich's life is upended when his wife enters a rehab program, leaving him on his own with their young kids. Goodrich leans on his daughter from his first marriage, Grace, as he ultimately evolves into the father Grace never had.",2024-10-17,https://www.goodrich-movie.com,5000000.0,1320429.0,6.0,55,1.9804,Hallie Meyers-Shyer,"Michael Keaton, Mila Kunis, Danny Deferrari",1 win total,2530.0,6.2,6.2,8.2,R,"['Comedy', 'Drama']"
The Roommate,El Roomie,tt30972058,99,es,['MX'],"Vivi is a young writer who is forced to find a roommate to pay the mortgage on her apartment. What she does not suspect is that Roy, the supposed perfect partner she found, has a peculiar lifestyle: he never pays rent.",2024-01-18,,,,7.626,91,1.8049,Pitipol Ybarra,"Fiona Palomo, José Eduardo Derbez, Giuseppe Gamba",,275.0,5.9,,,,"['Comedy', 'Romance']"
Hundreds of Beavers,Hundreds of Beavers,tt12818328,108,en,['US'],"In the 19th century, a drunken applejack salesman must go from zero to hero and become North America's greatest fur trapper by defeating hundreds of beavers.",2024-01-26,https://hundredsofbeavers.com,150000.0,804017.0,7.264,159,1.8647,Mike Cheslik,"Ryland Brickson Cole Tews, Olivia Graves, Doug Mancheski",22 wins & 21 nominations total,12001.0,7.6,8.2,9.7,,"['Action', 'Adventure', 'Comedy']"
Elton John: Never Too Late,Elton John: Never Too Late,tt20316978,102,en,"['GB', 'US']","Sir Elton John looks back on his life and the astonishing early days of his 50-year career in this emotionally charged, full-circle journey. As he prepares for his final concert in North America at Dodger Stadium, Elton takes us back in time and recounts his struggles with adversity, abuse, and addiction, and how he overcame them to become the icon he is today.",2024-11-15,https://www.disneyplus.com/movies/elton-john-never-too-late/3mjgfTg1BaPg,,,6.3,31,1.4929,"R.J. Cutler, David Furnish","Elton John, John Lennon",1 win & 6 nominations total,687.0,7.0,6.1,,PG-13,"['Documentary', 'Biography', 'Music']"
Inheritance,Spadek,tt32245043,95,pl,['PL'],"When their rich uncle passes, his mansion of intricate puzzles becomes the backdrop for his estranged family's quest to secure a portion of his wealth.",2024-06-19,https://www.netflix.com/title/81500431,,,5.219,169,2.1234,Sylwester Jakimow,"Jan Peszek, Maciej Stuhr, Joanna Trzepiecinska",,2901.0,5.1,,,,"['Comedy', 'Drama', 'Mystery']"
The Book of Clarence,The Book of Clarence,tt22866358,129,en,['US'],"Streetwise but down-on-his-luck, Clarence is struggling to find a better life for his family, while fighting to free himself of debt. Captivated by the power and glory of the rising Messiah and His apostles, he risks everything to carve his own path to a divine life, and ultimately discovers that the redemptive power of belief may be his only way out.",2024-01-11,https://www.thebookofclarence.movie,40000000.0,6205230.0,5.8,100,3.0879,Jeymes Samuel,"LaKeith Stanfield, Omar Sy, Anna Diop",11 nominations total,7133.0,5.7,5.7,6.6,PG-13,"['Adventure', 'Comedy', 'Drama']"
Sing and Don't Cry,Canta y no llores,tt27503161,90,es,"['DO', 'MX']","A matriarchal family runs a taco food truck, navigating between artistic aspirations and daily frustrations while raising a member's daughter.",2024-03-21,,,,6.8,55,1.2415,Félix Sabroso,"Michelle Rodríguez, Lumy Lizardo, Consuelo Duval",,72.0,,,,,['Comedy']
Ashes,Kül,tt21308718,100,tr,['TR'],"From an intoxicating fantasy to a dangerous affair, a wealthy married woman finds her life irreversibly shattered after picking up an unpublished novel.",2024-02-09,https://www.netflix.com/title/81616617,,,5.7,53,1.349,Erdem Tepegöz,"Funda Eryigit, Alperen Duymaz, Mehmet Günsür",,2374.0,4.3,,3.3,TV-MA,"['Drama', 'Romance']"
Summer Camp,Summer Camp,tt26928684,96,en,['US'],"Childhood best friends Nora, Ginny and Mary used to spend every summer at sleepaway camp together, and now, fifty years later, seize the opportunity to get back together for a reunion at the camp — full of food fights, river rafting and emotional revelations.",2024-05-31,https://www.summercamp-themovie.com,10000000.0,2402245.0,5.2,27,3.374,Castille Landon,"Diane Keaton, Kathy Bates, Alfre Woodard",,1183.0,4.4,4.1,0.8,PG-13,['Comedy']
The Beautiful Game,The Beautiful Game,tt5113010,125,en,['GB'],A group of advocates to end homelessness organize an annual tournament for homeless people to compete in a series of football matches known as The Homeless World Cup.,2024-03-22,https://www.netflix.com/title/81001287,,,6.4,161,1.212,Thea Sharrock,"Micheal Ward, Beckett Handley, Tahvae Hunte",,7490.0,6.3,,8.8,PG-13,"['Drama', 'Sport']"
I Am Nevenka,Soy Nevenka,tt30973261,112,es,['ES'],"In the year 2000, Nevenka Fernández, 24 years old, Councilor for Finance in the Ponferrada City Council, suffered relentless persecution, both sentimental and professional, by the mayor, a man accustomed to doing his will politically and personally. She never decides to report, although she knows that she will have to pay a very high price: her environment does not support her, the society of Ponferrada turns its back on her and the media subjects her to a public trial. A story inspired by real events that turns its protagonist into a pioneer by taking an influential and popular politician to court for sexual and workplace harassment for the first time.",2024-09-27,,,,7.2,45,1.5268,Icíar Bollaín,"Mireia Oriol, Urko Olazabal, Ricardo Gómez",1 nomination,285.0,7.3,,7.3,,['Drama']
Sweethearts,Sweethearts,tt14636214,97,en,['US'],Two college freshmen who decided to stick with their high school sweethearts have to pull a 'Turkey Dump' and break up with them over 'Drunksgiving' the one chaotic night before Thanksgiving in their hometown that puts their codependent friendship to the test.,2024-10-31,https://www.max.com/movies/sweethearts/a559eeba-532e-4e10-a030-17ce7cac4017,,,5.8,65,2.6204,Jordan Weiss,"Kiernan Shipka, Nico Hiraga, Caleb Hearon",1 win total,2912.0,5.6,5.9,6.4,R,['Comedy']
Find Me Falling,Find Me Falling,tt19862722,94,en,"['CY', 'US']","After a failed comeback album, a rock star retreats to a cliffside home on Cyprus, only to find his new life complicated by visitors — and an old flame.",2024-07-18,https://www.netflix.com/title/81740504,,,6.6,146,1.8271,Stelana Kliris,"Harry Connick Jr., Agni Scott, Ali Fumiko Whitney",,11689.0,6.3,5.0,4.3,TV-MA,"['Comedy', 'Music', 'Romance']"
Prom Dates,Prom Dates,tt29919979,86,en,['US'],"Jess and Hannah, who made a pact at 13 to have the perfect senior prom. Despite the impending changes that college will bring over the next four years, the two are committed to honoring their prom pact. But with only 24 hours left before the big event, everything falls apart when they break up with each of their dates. Jess and Hannah are left with one night to find new dates and live out their middle-school fantasies.",2024-05-02,,,,5.3,29,1.6198,Kim O. Nguyen,"Julia Lester, Antonia Gentry, Kenny Ridwan",1 nomination total,1608.0,5.2,4.4,3.9,,['Comedy']
Kill the Jockey,El jockey,tt28231777,96,es,"['AR', 'DK', 'MX', 'ES', 'US']","Remo's self-destructive behavior overshadows his talent. Abril, an upcoming jockey, is pregnant with Remo's baby and has to decide between the child or continuing to race. They both race for Sirena, a businessman who saved Remo's life in the past but now is determined to find him, dead or alive.",2024-09-26,,,,6.6,35,1.6131,Luis Ortega,"Nahuel Pérez Biscayart, Úrsula Corberó, Daniel Fanego",3 wins & 5 nominations total,799.0,6.7,6.7,,,"['Crime', 'Drama', 'Sport']"
Shaitaan,शैतान,tt27744786,132,hi,['IN'],"Kabir and his family's fun weekend retreat takes terrifying turn when an intruder takes over the control of the  body of his teenage daughter, putting her at the mercy of his increasingly sinister orders.",2024-03-08,,7800000.0,9600000.0,6.2,57,1.3587,Vikas Bahl,"Ajay Devgn, Madhavan, Jyotika",1 win & 1 nomination total,53506.0,6.5,,4.0,Unrated,"['Drama', 'Horror', 'Thriller']"
The Wingwalker,Un Viaje Al Corazón,tt2961238,117,es,"['US', 'MX']","A young widower is deported as his daughter is scheduled for a heart transplant, this will lead him to orchestrate the boldest border crossing plan in history.",2024-10-10,,,,8.0,36,1.4563,Alonso Alvarez,"Héctor Jiménez, Will Rothhaar, Max Arciniega",1 win & 2 nominations,60.0,,,,,"['Drama', 'Thriller']"
Rosalie,Rosalie,tt26342863,115,fr,['FR'],"France, 1870s. Rosalie is a young woman unlike any other. She hides a secret: she was born with a face and body covered in hair. She’s concealed her peculiarity all her life to stay safe, shaving to fit in. Until Abel, an indebted bar owner unaware of her secret, marries Rosalie for her dowry. Will Abel be able to love Rosalie and see her as the woman she is, once he finds out the truth?",2024-04-10,,7000000.0,308326.0,6.535,71,2.1026,Stéphanie Di Giusto,"Nadia Tereszkiewicz, Benoît Magimel, Benjamin Biolay",1 win & 4 nominations total,757.0,6.9,,7.5,,"['Drama', 'History']"
Divorce,Rozwodnicy,tt33307315,91,pl,['PL'],"Two decades after divorcing and taking separate paths in life, a former couple is working to obtain an official declaration of invalidity of their brief marriage.",2024-09-25,,,,6.7,43,1.5694,"Michal Chacinski, Radoslaw Drabik","Adam Cywka, Stanislaw Cywka, Oliwia Drabik",,653.0,5.8,,,,"['Drama', 'Comedy']"
